"id","Game","Player","Opponent","Map_Draft","Civ_Draft","Player_Civ","Opp_Civ","Winner","Loser","Map","Time","updated","Winning_Civ","Losing_Civ","Stage"
55,4,"Ganji","Ozone","Okdup","DAImp","Portuguese","Saracens","Ganji","Ozone","Slopes",2024-01-31 19:00:00,"2024-02-09 09:09:47","Portuguese","Saracens","Qualifier"
56,1,"MbL","TheMax","GRoRM","BmiHK","Portuguese","Hindustanis","MbL","TheMax","Gold Rush",2024-01-28 15:00:00,"2024-02-09 09:09:47","Portuguese","Hindustanis","Qualifier"
56,2,"MbL","TheMax","GRoRM","BmiHK","Persians","Persians","MbL","TheMax","Cross",2024-01-28 15:00:00,"2024-02-09 09:09:47","Persians","Persians","Qualifier"
56,3,"MbL","TheMax","GRoRM","BmiHK","Malay","Bohemians","MbL","TheMax","Quarry",2024-01-28 15:00:00,"2024-02-09 09:09:47","Malay","Bohemians","Qualifier"
57,1,"Capoch","Jibatong","iZnLB","YWbzB","Portuguese","Spanish","Capoch","Jibatong","Gold Rush",2024-01-30 15:00:10,"2024-02-09 09:09:47","Portuguese","Spanish","Qualifier"
57,2,"Capoch","Jibatong","iZnLB","YWbzB","Chinese","Chinese","Capoch","Jibatong","Mudflow",2024-01-30 15:00:10,"2024-02-09 09:09:47","Chinese","Chinese","Qualifier"
57,3,"Capoch","Jibatong","iZnLB","YWbzB","Malay","Slavs","Capoch","Jibatong","Slopes",2024-01-30 15:00:10,"2024-02-09 09:09:47","Malay","Slavs","Qualifier"
58,1,"Villese","Ganji","fKKWA","UUhIc","Italians","Dravidians","Ganji","Villese","Islands",2024-02-03 15:00:00,"2024-02-09 09:09:47","Dravidians","Italians","Qualifier"
58,2,"Villese","Ganji","fKKWA","UUhIc","Saracens","Hindustanis","Villese","Ganji","Arabia",2024-02-03 15:00:00,"2024-02-09 09:09:47","Saracens","Hindustanis","Qualifier"
58,3,"Villese","Ganji","fKKWA","UUhIc","Georgians","Cumans","Villese","Ganji","Gold Rush",2024-02-03 15:00:00,"2024-02-09 09:09:47","Georgians","Cumans","Qualifier"
58,4,"Villese","Ganji","fKKWA","UUhIc","Byzantines","Malay","Ganji","Villese","Slopes",2024-02-03 15:00:00,"2024-02-09 09:09:47","Malay","Byzantines","Qualifier"
58,5,"Villese","Ganji","fKKWA","UUhIc","Persians","Japanese","Ganji","Villese","Mudflow",2024-02-03 15:00:00,"2024-02-09 09:09:47","Japanese","Persians","Qualifier"
59,1,"MbL","Capoch","oyJha","CgxAf","Dravidians","Vikings","Capoch","MbL","Islands",2024-02-04 17:00:00,"2024-02-09 09:09:47","Vikings","Dravidians","Qualifier"
59,2,"MbL","Capoch","oyJha","CgxAf","Spanish","Italians","MbL","Capoch","Gold Rush",2024-02-04 17:00:00,"2024-02-09 09:09:47","Spanish","Italians","Qualifier"
59,3,"MbL","Capoch","oyJha","CgxAf","Mayans","Magyars","MbL","Capoch","Mudflow",2024-02-04 17:00:00,"2024-02-09 09:09:47","Mayans","Magyars","Qualifier"
59,4,"MbL","Capoch","oyJha","CgxAf","Malay","Hindustanis","MbL","Capoch","Slopes",2024-02-04 17:00:00,"2024-02-09 09:09:47","Malay","Hindustanis","Qualifier"
60,NA,"Ganji","MbL",NA,NA,NA,NA,NA,NA,NA,2024-02-09 20:00:00,"2024-02-09 09:09:47",NA,NA,"Qualifier"
61,1,"Sitaux","Salted Pepper","fKSeS","AqYRC","Hindustanis","Vietnamese","Sitaux","Salted Pepper","Gold Rush",2024-01-23 10:00:00,"2024-02-09 09:09:47","Hindustanis","Vietnamese","Qualifier"
61,2,"Sitaux","Salted Pepper","fKSeS","AqYRC","Malians","Japanese","Salted Pepper","Sitaux","Cross",2024-01-23 10:00:00,"2024-02-09 09:09:47","Japanese","Malians","Qualifier"
61,3,"Sitaux","Salted Pepper","fKSeS","AqYRC","Chinese","Portuguese","Sitaux","Salted Pepper","Arabia",2024-01-23 10:00:00,"2024-02-09 09:09:47","Chinese","Portuguese","Qualifier"
62,1,"LobodeLaNieve","EMA_003","XLzKR","AeJVK","Malians","Mongols","EMA_003","LobodeLaNieve","Arabia",2024-01-26 18:00:00,"2024-02-09 09:09:47","Mongols","Malians","Qualifier"
62,2,"LobodeLaNieve","EMA_003","XLzKR","AeJVK","Britons","Cumans","EMA_003","LobodeLaNieve","Quarry",2024-01-26 18:00:00,"2024-02-09 09:09:47","Cumans","Britons","Qualifier"
63,1,"classicpro","Eli","fEUFb","FNYIW","Japanese","Mongols","classicpro","Eli","Cross",2024-01-25 22:00:00,"2024-02-09 09:09:47","Japanese","Mongols","Qualifier"
63,2,"classicpro","Eli","fEUFb","FNYIW","Poles","Hindustanis","classicpro","Eli","Gold Rush",2024-01-25 22:00:00,"2024-02-09 09:09:47","Poles","Hindustanis","Qualifier"
64,1,"Uzzi","Prisma09","iNuUQ","ZCmxw","Japanese","Mongols","Uzzi","Prisma09","Cross",2024-01-23 21:00:00,"2024-02-09 09:09:47","Japanese","Mongols","Qualifier"
64,2,"Uzzi","Prisma09","iNuUQ","ZCmxw","Saracens","Franks","Uzzi","Prisma09","Gold Rush",2024-01-23 21:00:00,"2024-02-09 09:09:47","Saracens","Franks","Qualifier"
65,1,"Valas","Dziamdziak","bHRpr","JWLdW","Incas","Franks","Valas","Dziamdziak","Slopes",2024-01-24 20:00:00,"2024-02-09 09:09:47","Incas","Franks","Qualifier"
65,2,"Valas","Dziamdziak","bHRpr","JWLdW","Portuguese","Japanese","Valas","Dziamdziak","Cross",2024-01-24 20:00:00,"2024-02-09 09:09:47","Portuguese","Japanese","Qualifier"
66,1,"Gabi","Twigg","ycTUL","zwcSA","Lithuanians","Malians","Twigg","Gabi","Arabia",2024-01-24 23:00:00,"2024-02-09 09:09:47","Malians","Lithuanians","Qualifier"
66,2,"Gabi","Twigg","ycTUL","zwcSA","Hindustanis","Magyars","Twigg","Gabi","Slopes",2024-01-24 23:00:00,"2024-02-09 09:09:47","Magyars","Hindustanis","Qualifier"
67,1,"miguel","Youpudding","SCYuE","swRgq","Mayans","Dravidians","Youpudding","miguel","Arabia",2024-01-23 13:00:30,"2024-02-09 09:09:47","Dravidians","Mayans","Qualifier"
67,2,"miguel","Youpudding","SCYuE","swRgq","Japanese","Malians","miguel","Youpudding","Cross",2024-01-23 13:00:30,"2024-02-09 09:09:47","Japanese","Malians","Qualifier"
67,3,"miguel","Youpudding","SCYuE","swRgq","Georgians","Romans","miguel","Youpudding","Mudflow",2024-01-23 13:00:30,"2024-02-09 09:09:47","Georgians","Romans","Qualifier"
68,NA,"Sobek","Macluffy",NA,NA,NA,NA,NA,NA,NA,NA,"2024-02-09 09:09:47",NA,NA,"Qualifier"
69,1,"Sitaux","EMA_003","emTUN","iNIjW","Mongols","Mayans","EMA_003","Sitaux","Arabia",2024-01-31 15:00:00,"2024-02-09 09:09:47","Mayans","Mongols","Qualifier"
69,2,"Sitaux","EMA_003","emTUN","iNIjW","Japanese","Persians","Sitaux","EMA_003","Cross",2024-01-31 15:00:00,"2024-02-09 09:09:47","Japanese","Persians","Qualifier"
69,3,"Sitaux","EMA_003","emTUN","iNIjW","Koreans","Italians","Sitaux","EMA_003","Islands",2024-01-31 15:00:00,"2024-02-09 09:09:47","Koreans","Italians","Qualifier"
69,4,"Sitaux","EMA_003","emTUN","iNIjW","Malians","Teutons","EMA_003","Sitaux","Quarry",2024-01-31 15:00:00,"2024-02-09 09:09:47","Teutons","Malians","Qualifier"
69,5,"Sitaux","EMA_003","emTUN","iNIjW","Chinese","Chinese","Sitaux","EMA_003","Mudflow",2024-01-31 15:00:00,"2024-02-09 09:09:47","Chinese","Chinese","Qualifier"
70,1,"classicpro","Uzzi","yolrb","YfvrF","Malians","Japanese","classicpro","Uzzi","Cross",2024-01-30 19:00:00,"2024-02-09 09:09:47","Malians","Japanese","Qualifier"
70,2,"classicpro","Uzzi","yolrb","YfvrF","Bengalis","Saracens","classicpro","Uzzi","Slopes",2024-01-30 19:00:00,"2024-02-09 09:09:47","Bengalis","Saracens","Qualifier"
70,3,"classicpro","Uzzi","yolrb","YfvrF","Incas","Lithuanians","classicpro","Uzzi","Arabia",2024-01-30 19:00:00,"2024-02-09 09:09:47","Incas","Lithuanians","Qualifier"
71,1,"Valas","Twigg","ZjaCv","nwRii","Burgundians","Georgians","Valas","Twigg","Gold Rush",2024-01-28 17:00:00,"2024-02-09 09:09:47","Burgundians","Georgians","Qualifier"
71,2,"Valas","Twigg","ZjaCv","nwRii","Franks","Magyars","Twigg","Valas","Mudflow",2024-01-28 17:00:00,"2024-02-09 09:09:47","Magyars","Franks","Qualifier"
71,3,"Valas","Twigg","ZjaCv","nwRii","Italians","Dravidians","Valas","Twigg","Islands",2024-01-28 17:00:00,"2024-02-09 09:09:47","Italians","Dravidians","Qualifier"
71,4,"Valas","Twigg","ZjaCv","nwRii","Malay","Hindustanis","Valas","Twigg","Arabia",2024-01-28 17:00:00,"2024-02-09 09:09:47","Malay","Hindustanis","Qualifier"
72,1,"miguel","Sobek","lSTtq","TEsCz","Malay","Burgundians","miguel","Sobek","Gold Rush",2024-01-29 19:00:00,"2024-02-09 09:09:47","Malay","Burgundians","Qualifier"
72,2,"miguel","Sobek","lSTtq","TEsCz","Japanese","Hindustanis","Sobek","miguel","Slopes",2024-01-29 19:00:00,"2024-02-09 09:09:47","Hindustanis","Japanese","Qualifier"
72,3,"miguel","Sobek","lSTtq","TEsCz","Mayans","Incas","Sobek","miguel","Arabia",2024-01-29 19:00:00,"2024-02-09 09:09:47","Incas","Mayans","Qualifier"
72,4,"miguel","Sobek","lSTtq","TEsCz","Franks","Magyars","miguel","Sobek","Mudflow",2024-01-29 19:00:00,"2024-02-09 09:09:47","Franks","Magyars","Qualifier"
72,5,"miguel","Sobek","lSTtq","TEsCz","Persians","Persians","Sobek","miguel","Cross",2024-01-29 19:00:00,"2024-02-09 09:09:47","Persians","Persians","Qualifier"
73,1,"Sitaux","classicpro","nNmVD","OmUTd","Khmer","Tatars","Sitaux","classicpro","Arabia",2024-02-05 18:00:00,"2024-02-09 09:09:47","Khmer","Tatars","Qualifier"
73,2,"Sitaux","classicpro","nNmVD","OmUTd","Malians","Persians","Sitaux","classicpro","Mudflow",2024-02-05 18:00:00,"2024-02-09 09:09:47","Malians","Persians","Qualifier"
73,3,"Sitaux","classicpro","nNmVD","OmUTd","Portuguese","Cumans","Sitaux","classicpro","Gold Rush",2024-02-05 18:00:00,"2024-02-09 09:09:47","Portuguese","Cumans","Qualifier"
74,1,"Valas","Sobek","SZdQZ","MrgAg","Hindustanis","Mayans","Valas","Sobek","Arabia",2024-02-04 18:00:00,"2024-02-09 09:09:47","Hindustanis","Mayans","Qualifier"
74,2,"Valas","Sobek","SZdQZ","MrgAg","Lithuanians","Franks","Sobek","Valas","Mudflow",2024-02-04 18:00:00,"2024-02-09 09:09:47","Franks","Lithuanians","Qualifier"
74,3,"Valas","Sobek","SZdQZ","MrgAg","Burgundians","Cumans","Valas","Sobek","Gold Rush",2024-02-04 18:00:00,"2024-02-09 09:09:47","Burgundians","Cumans","Qualifier"
74,4,"Valas","Sobek","SZdQZ","MrgAg","Japanese","Byzantines","Sobek","Valas","Cross",2024-02-04 18:00:00,"2024-02-09 09:09:47","Byzantines","Japanese","Qualifier"
74,5,"Valas","Sobek","SZdQZ","MrgAg","Armenians","Dravidians","Sobek","Valas","Islands",2024-02-04 18:00:00,"2024-02-09 09:09:47","Dravidians","Armenians","Qualifier"
75,NA,"Sitaux","Sobek",NA,NA,NA,NA,NA,NA,NA,2024-02-09 17:00:00,"2024-02-09 09:09:47",NA,NA,"Qualifier"
76,1,"FreakinAndy","Kamigawa","aNTKF","VwfHJ","Japanese","Persians","FreakinAndy","Kamigawa","Cross",2024-01-24 17:00:00,"2024-02-09 09:09:47","Japanese","Persians","Qualifier"
76,2,"FreakinAndy","Kamigawa","aNTKF","VwfHJ","Portuguese","Koreans","FreakinAndy","Kamigawa","Islands",2024-01-24 17:00:00,"2024-02-09 09:09:47","Portuguese","Koreans","Qualifier"
77,1,"Fedex","Bad Koala","hTjcP","brnti","Malay","Saracens","Bad Koala","Fedex","Gold Rush",2024-01-26 14:00:00,"2024-02-09 09:09:47","Saracens","Malay","Qualifier"
77,2,"Fedex","Bad Koala","hTjcP","brnti","Italians","Byzantines","Bad Koala","Fedex","Islands",2024-01-26 14:00:00,"2024-02-09 09:09:47","Byzantines","Italians","Qualifier"
78,1,"Sebastian2002","Good_luck","KAGJv","GgUcr","Mayans","Mongols","Sebastian2002","Good_luck","Arabia",2024-01-23 18:00:00,"2024-02-09 09:09:47","Mayans","Mongols","Qualifier"
78,2,"Sebastian2002","Good_luck","KAGJv","GgUcr","Malay","Spanish","Sebastian2002","Good_luck","Gold Rush",2024-01-23 18:00:00,"2024-02-09 09:09:47","Malay","Spanish","Qualifier"
79,1,"repard","IAnTaGoNiStI","durDo","MBJhh","Mayans","Incas","IAnTaGoNiStI","repard","Quarry",2024-01-25 15:00:00,"2024-02-09 09:09:47","Incas","Mayans","Qualifier"
79,2,"repard","IAnTaGoNiStI","durDo","MBJhh","Mongols","Magyars","repard","IAnTaGoNiStI","Slopes",2024-01-25 15:00:00,"2024-02-09 09:09:47","Mongols","Magyars","Qualifier"
79,3,"repard","IAnTaGoNiStI","durDo","MBJhh","Khmer","Chinese","IAnTaGoNiStI","repard","Mudflow",2024-01-25 15:00:00,"2024-02-09 09:09:47","Chinese","Khmer","Qualifier"
80,1,"Nicov","TheBloodless","NefdA","Ktywe","Malians","Persians","Nicov","TheBloodless","Cross",2024-01-26 16:00:00,"2024-02-09 09:09:47","Malians","Persians","Qualifier"
80,2,"Nicov","TheBloodless","NefdA","Ktywe","Bohemians","Lithuanians","Nicov","TheBloodless","Gold Rush",2024-01-26 16:00:00,"2024-02-09 09:09:47","Bohemians","Lithuanians","Qualifier"
81,1,"Babaorum","iBUYPOWER","LbbCs","RyHVy","Hindustanis","Saracens","Babaorum","iBUYPOWER","Gold Rush",2024-01-23 18:00:00,"2024-02-09 09:09:47","Hindustanis","Saracens","Qualifier"
81,2,"Babaorum","iBUYPOWER","LbbCs","RyHVy","Romans","Cumans","Babaorum","iBUYPOWER","Slopes",2024-01-23 18:00:00,"2024-02-09 09:09:47","Romans","Cumans","Qualifier"
82,1,"KingstoNe","m0re","PoRPT","QxCtY","Magyars","Aztecs","KingstoNe","m0re","Slopes",2024-01-26 21:00:00,"2024-02-09 09:09:47","Magyars","Aztecs","Qualifier"
82,2,"KingstoNe","m0re","PoRPT","QxCtY","Bengalis","Poles","KingstoNe","m0re","Quarry",2024-01-26 21:00:00,"2024-02-09 09:09:47","Bengalis","Poles","Qualifier"
83,1,"saymyname","Good_Game","dntXz","JPSzG","Hindustanis","Bohemians","saymyname","Good_Game","Gold Rush",2024-01-25 13:00:00,"2024-02-09 09:09:47","Hindustanis","Bohemians","Qualifier"
83,2,"saymyname","Good_Game","dntXz","JPSzG","Huns","Mongols","saymyname","Good_Game","Cross",2024-01-25 13:00:00,"2024-02-09 09:09:47","Huns","Mongols","Qualifier"
84,1,"FreakinAndy","Bad Koala","zHDQD","nxHpJ","Vikings","Portuguese","FreakinAndy","Bad Koala","Islands",2024-01-30 15:00:30,"2024-02-09 09:09:47","Vikings","Portuguese","Qualifier"
84,2,"FreakinAndy","Bad Koala","zHDQD","nxHpJ","Britons","Byzantines","FreakinAndy","Bad Koala","Quarry",2024-01-30 15:00:30,"2024-02-09 09:09:47","Britons","Byzantines","Qualifier"
84,3,"FreakinAndy","Bad Koala","zHDQD","nxHpJ","Slavs","Saracens","FreakinAndy","Bad Koala","Gold Rush",2024-01-30 15:00:30,"2024-02-09 09:09:47","Slavs","Saracens","Qualifier"
85,1,"Sebastian2002","IAnTaGoNiStI","PQXkB","dIddq","Italians","Dravidians","Sebastian2002","IAnTaGoNiStI","Islands",2024-01-30 17:00:00,"2024-02-09 09:09:47","Italians","Dravidians","Qualifier"
85,2,"Sebastian2002","IAnTaGoNiStI","PQXkB","dIddq","Georgians","Cumans","Sebastian2002","IAnTaGoNiStI","Gold Rush",2024-01-30 17:00:00,"2024-02-09 09:09:47","Georgians","Cumans","Qualifier"
85,3,"Sebastian2002","IAnTaGoNiStI","PQXkB","dIddq","Persians","Malians","Sebastian2002","IAnTaGoNiStI","Cross",2024-01-30 17:00:00,"2024-02-09 09:09:47","Persians","Malians","Qualifier"
86,1,"Nicov","Babaorum","vjHoI","wetVg","Chinese","Armenians","Nicov","Babaorum","Mudflow",2024-02-01 17:00:00,"2024-02-09 09:09:47","Chinese","Armenians","Qualifier"
86,2,"Nicov","Babaorum","vjHoI","wetVg","Burgundians","Hindustanis","Babaorum","Nicov","Gold Rush",2024-02-01 17:00:00,"2024-02-09 09:09:47","Hindustanis","Burgundians","Qualifier"
86,3,"Nicov","Babaorum","vjHoI","wetVg","Byzantines","Khmer","Nicov","Babaorum","Slopes",2024-02-01 17:00:00,"2024-02-09 09:09:47","Byzantines","Khmer","Qualifier"
86,4,"Nicov","Babaorum","vjHoI","wetVg","Portuguese","Chinese","Babaorum","Nicov","Arabia",2024-02-01 17:00:00,"2024-02-09 09:09:47","Chinese","Portuguese","Qualifier"
86,5,"Nicov","Babaorum","vjHoI","wetVg","Persians","Malians","Babaorum","Nicov","Cross",2024-02-01 17:00:00,"2024-02-09 09:09:47","Malians","Persians","Qualifier"
87,1,"KingstoNe","saymyname","dqwEI","goMbX","Japanese","Malians","KingstoNe","saymyname","Cross",2024-02-01 05:00:30,"2024-02-09 09:09:47","Japanese","Malians","Qualifier"
87,2,"KingstoNe","saymyname","dqwEI","goMbX","Chinese","Khmer","KingstoNe","saymyname","Mudflow",2024-02-01 05:00:30,"2024-02-09 09:09:47","Chinese","Khmer","Qualifier"
87,3,"KingstoNe","saymyname","dqwEI","goMbX","Dravidians","Armenians","KingstoNe","saymyname","Islands",2024-02-01 05:00:30,"2024-02-09 09:09:47","Dravidians","Armenians","Qualifier"
88,1,"FreakinAndy","Sebastian2002","QSjmI","PufZS","Koreans","Magyars","Sebastian2002","FreakinAndy","Mudflow",2024-02-03 16:00:00,"2024-02-09 09:09:47","Magyars","Koreans","Qualifier"
88,2,"FreakinAndy","Sebastian2002","QSjmI","PufZS","Persians","Japanese","Sebastian2002","FreakinAndy","Cross",2024-02-03 16:00:00,"2024-02-09 09:09:47","Japanese","Persians","Qualifier"
88,3,"FreakinAndy","Sebastian2002","QSjmI","PufZS","Georgians","Malay","Sebastian2002","FreakinAndy","Gold Rush",2024-02-03 16:00:00,"2024-02-09 09:09:47","Malay","Georgians","Qualifier"
89,1,"Babaorum","KingstoNe","xnAMr","XHYdL","Chinese","Chinese","KingstoNe","Babaorum","Mudflow",2024-02-03 19:00:00,"2024-02-09 09:09:47","Chinese","Chinese","Qualifier"
89,2,"Babaorum","KingstoNe","xnAMr","XHYdL","Khmer","Byzantines","Babaorum","KingstoNe","Slopes",2024-02-03 19:00:00,"2024-02-09 09:09:47","Khmer","Byzantines","Qualifier"
89,3,"Babaorum","KingstoNe","xnAMr","XHYdL","Burgundians","Cumans","Babaorum","KingstoNe","Gold Rush",2024-02-03 19:00:00,"2024-02-09 09:09:47","Burgundians","Cumans","Qualifier"
89,4,"Babaorum","KingstoNe","xnAMr","XHYdL","Aztecs","Malay","Babaorum","KingstoNe","Quarry",2024-02-03 19:00:00,"2024-02-09 09:09:47","Aztecs","Malay","Qualifier"
90,NA,"Sebastian2002","Babaorum",NA,NA,NA,NA,NA,NA,NA,2024-02-10 20:00:00,"2024-02-09 09:09:47",NA,NA,"Qualifier"
